NAME                                                  CREATED AT
accesscontrolpolicies.hub.traefik.io                  2026-01-12T23:56:21Z
addons.k3s.cattle.io                                  2025-03-19T21:28:29Z
aiservices.hub.traefik.io                             2026-01-12T23:56:22Z
alertmanagerconfigs.monitoring.coreos.com             2025-03-19T22:23:13Z
alertmanagers.monitoring.coreos.com                   2025-03-19T22:23:13Z
apiauths.hub.traefik.io                               2026-01-12T23:56:22Z
apibundles.hub.traefik.io                             2026-01-12T23:56:22Z
apicatalogitems.hub.traefik.io                        2026-01-12T23:56:22Z
apiplans.hub.traefik.io                               2026-01-12T23:56:22Z
apiportalauths.hub.traefik.io                         2026-01-12T23:56:22Z
apiportals.hub.traefik.io                             2026-01-12T23:56:22Z
apiratelimits.hub.traefik.io                          2026-01-12T23:56:22Z
apis.hub.traefik.io                                   2026-01-12T23:56:22Z
apiversions.hub.traefik.io                            2026-01-12T23:56:22Z
bfdprofiles.metallb.io                                2025-03-22T15:56:57Z
bgpadvertisements.metallb.io                          2025-03-22T15:56:57Z
bgppeers.metallb.io                                   2025-03-22T15:56:57Z
communities.metallb.io                                2025-03-22T15:56:57Z
etcdsnapshotfiles.k3s.cattle.io                       2025-03-19T21:28:29Z
gatewayclasses.gateway.networking.k8s.io              2026-01-12T23:56:20Z
gateways.gateway.networking.k8s.io                    2026-01-12T23:56:20Z
grpcroutes.gateway.networking.k8s.io                  2026-01-12T23:56:20Z
helmchartconfigs.helm.cattle.io                       2025-03-19T21:28:29Z
helmcharts.helm.cattle.io                             2025-03-19T21:28:29Z
httproutes.gateway.networking.k8s.io                  2026-01-12T23:56:20Z
ingressroutes.traefik.io                              2025-03-19T21:39:35Z
ingressroutetcps.traefik.io                           2025-03-19T21:39:35Z
ingressrouteudps.traefik.io                           2025-03-19T21:39:35Z
ipaddresspools.metallb.io                             2025-03-22T15:56:57Z
l2advertisements.metallb.io                           2025-03-22T15:56:57Z
managedapplications.hub.traefik.io                    2026-01-12T23:56:23Z
managedsubscriptions.hub.traefik.io                   2026-01-12T23:56:23Z
middlewares.traefik.io                                2025-03-19T21:39:35Z
middlewaretcps.traefik.io                             2025-03-19T21:39:35Z
podmonitors.monitoring.coreos.com                     2025-03-19T22:23:13Z
probes.monitoring.coreos.com                          2025-03-19T22:23:13Z
prometheusagents.monitoring.coreos.com                2025-03-19T22:23:15Z
prometheuses.monitoring.coreos.com                    2025-03-19T22:23:14Z
prometheusrules.monitoring.coreos.com                 2025-03-19T22:23:15Z
referencegrants.gateway.networking.k8s.io             2026-01-12T23:56:21Z
scrapeconfigs.monitoring.coreos.com                   2025-03-19T22:23:16Z
serverstransports.traefik.io                          2025-03-19T21:39:35Z
serverstransporttcps.traefik.io                       2025-03-19T21:39:35Z
servicel2statuses.metallb.io                          2025-03-22T15:56:57Z
servicemonitors.monitoring.coreos.com                 2025-03-19T22:23:16Z
thanosrulers.monitoring.coreos.com                    2025-03-19T22:23:16Z
tlsoptions.traefik.io                                 2025-03-19T21:39:35Z
tlsstores.traefik.io                                  2025-03-19T21:39:35Z
traefikservices.traefik.io                            2025-03-19T21:39:35Z
verticalpodautoscalercheckpoints.autoscaling.k8s.io   2025-08-10T13:41:03Z
verticalpodautoscalers.autoscaling.k8s.io             2025-07-30T20:37:46Z
