NAMESPACE    NAME                      AGE
default      open5gs-amf               215d
default      open5gs-pcf               215d
default      open5gs-smf               215d
default      open5gs-upf               215d
monitoring   alertmanager-main         522d
monitoring   blackbox-exporter         522d
monitoring   coredns                   522d
monitoring   grafana                   522d
monitoring   kube-apiserver            522d
monitoring   kube-controller-manager   522d
monitoring   kube-scheduler            522d
monitoring   kube-state-metrics        522d
monitoring   kubelet                   522d
monitoring   node-exporter             522d
monitoring   prometheus-adapter        522d
monitoring   prometheus-k8s            522d
monitoring   prometheus-operator       522d
monitoring   vpa-exporter              95d
