NAME                      READY   UP-TO-DATE   AVAILABLE   AGE
iperf3-server             1/1     1            1           350d
open5gs-amf               1/1     1            1           205d
open5gs-ausf              1/1     1            1           205d
open5gs-bsf               1/1     1            1           205d
open5gs-mongodb           1/1     1            1           205d
open5gs-nrf               1/1     1            1           205d
open5gs-nssf              1/1     1            1           205d
open5gs-pcf               1/1     1            1           205d
open5gs-populate          0/0     0            0           205d
open5gs-scp               1/1     1            1           205d
open5gs-smf               1/1     1            1           205d
open5gs-udm               1/1     1            1           205d
open5gs-udr               1/1     1            1           205d
open5gs-upf               1/1     1            1           205d
open5gs-webui             1/1     1            1           205d
ueransim-gnb              1/1     1            1           27d
ueransim-gnb-ues          1/1     1            1           27d
ueransim-ues-additional   0/0     0            0           18d
