NAME                                READY   STATUS    RESTARTS        AGE   IP              NODE        NOMINATED NODE   READINESS GATES
iperf3-server-747f565b8b-glz8n      1/1     Running   3 (2d23h ago)   33d   10.42.2.31      rpislave2   <none>           <none>
nat-setup-hostnet                   1/1     Running   3 (2d23h ago)   39d   192.168.1.102   rpislave2   <none>           <none>
open5gs-amf-6fc5dbbd99-m59gj        1/1     Running   2 (2d23h ago)   13d   10.42.3.215     rpislave3   <none>           <none>
open5gs-ausf-9fb8579c6-xxl6w        1/1     Running   3 (2d23h ago)   16d   10.42.2.19      rpislave2   <none>           <none>
open5gs-bsf-7cf8867c96-qwjq9        1/1     Running   3 (2d23h ago)   16d   10.42.2.30      rpislave2   <none>           <none>
open5gs-mongodb-5b4cd4946b-g6p2m    1/1     Running   2 (2d23h ago)   16d   10.42.1.93      rpislave4   <none>           <none>
open5gs-nrf-9b889c6dc-j4r5f         1/1     Running   3 (2d23h ago)   27d   10.42.2.23      rpislave2   <none>           <none>
open5gs-nssf-586ccf6cd8-m6jrt       1/1     Running   3 (2d23h ago)   27d   10.42.2.20      rpislave2   <none>           <none>
open5gs-pcf-7c48d88dfb-b7w7c        1/1     Running   4 (2d6h ago)    15d   10.42.1.99      rpislave4   <none>           <none>
open5gs-scp-774bfb7564-xc95p        1/1     Running   3 (2d23h ago)   16d   10.42.2.22      rpislave2   <none>           <none>
open5gs-smf-65b5cbd6b8-g74xm        1/1     Running   2 (2d23h ago)   13d   10.42.3.217     rpislave3   <none>           <none>
open5gs-udm-8445899f4b-5p98q        1/1     Running   3 (2d23h ago)   27d   10.42.3.212     rpislave3   <none>           <none>
open5gs-udr-77497dbb99-ckvcl        1/1     Running   8 (2d6h ago)    27d   10.42.2.21      rpislave2   <none>           <none>
open5gs-upf-5b9db6d44-nsbqz         1/1     Running   2 (2d23h ago)   15d   10.42.2.27      rpislave2   <none>           <none>
open5gs-webui-76c5475c97-nm99d      1/1     Running   5 (2d23h ago)   93d   10.42.3.216     rpislave3   <none>           <none>
ueransim-gnb-5f74f979bb-hf2xm       1/1     Running   2 (2d23h ago)   13d   10.42.3.208     rpislave3   <none>           <none>
ueransim-gnb-ues-69bc49bf9c-85d68   1/1     Running   3 (2d6h ago)    13d   10.42.1.94      rpislave4   <none>           <none>
