NAME                  TYPE           CLUSTER-IP      EXTERNAL-IP     PORT(S)             AGE
iperf3                ClusterIP      10.43.195.79    <none>          5201/TCP            350d
iperf3-server         LoadBalancer   10.43.165.88    192.168.1.203   5201:31916/TCP      242d
kubernetes            ClusterIP      10.43.0.1       <none>          443/TCP             512d
open5gs-amf-metrics   ClusterIP      10.43.187.0     <none>          9090/TCP            205d
open5gs-amf-ngap      ClusterIP      10.43.233.58    <none>          38412/SCTP          205d
open5gs-amf-sbi       ClusterIP      10.43.33.11     <none>          7777/TCP            205d
open5gs-ausf-sbi      ClusterIP      10.43.63.229    <none>          7777/TCP            205d
open5gs-bsf-sbi       ClusterIP      10.43.243.32    <none>          7777/TCP            205d
open5gs-mongodb       ClusterIP      10.43.194.194   <none>          27017/TCP           205d
open5gs-nrf-sbi       ClusterIP      10.43.163.236   <none>          7777/TCP            205d
open5gs-nssf-sbi      ClusterIP      10.43.151.146   <none>          7777/TCP            205d
open5gs-pcf-metrics   ClusterIP      10.43.109.36    <none>          9090/TCP            205d
open5gs-pcf-sbi       ClusterIP      10.43.179.48    <none>          7777/TCP            205d
open5gs-scp-sbi       ClusterIP      10.43.78.52     <none>          7777/TCP            205d
open5gs-smf-gtpc      ClusterIP      10.43.194.244   <none>          2123/UDP            205d
open5gs-smf-gtpu      ClusterIP      10.43.7.6       <none>          2152/UDP            205d
open5gs-smf-metrics   ClusterIP      10.43.212.218   <none>          9090/TCP            205d
open5gs-smf-pfcp      ClusterIP      10.43.137.67    <none>          8805/UDP            205d
open5gs-smf-sbi       ClusterIP      10.43.203.172   <none>          7777/TCP            205d
open5gs-udm-sbi       ClusterIP      10.43.31.50     <none>          7777/TCP            205d
open5gs-udr-sbi       ClusterIP      10.43.87.206    <none>          7777/TCP            205d
open5gs-upf-gtpu      ClusterIP      10.43.209.232   <none>          2152/UDP            205d
open5gs-upf-metrics   ClusterIP      10.43.62.31     <none>          9090/TCP            205d
open5gs-upf-pfcp      ClusterIP      10.43.69.138    <none>          8805/UDP            205d
open5gs-webui         ClusterIP      10.43.148.246   <none>          9999/TCP            205d
ueransim-gnb          ClusterIP      None            <none>          4997/UDP,2152/UDP   27d
