NAME                                READY   STATUS             RESTARTS       AGE     IP              NODE        NOMINATED NODE   READINESS GATES
iperf3-server-747f565b8b-glz8n      0/1     ImagePullBackOff   0              5d13h   10.42.2.174     rpislave2   <none>           <none>
nat-setup-hostnet                   1/1     Running            0              11d     192.168.1.102   rpislave2   <none>           <none>
open5gs-amf-f9df59f7f-6ppcx         1/1     Running            0              5m14s   10.42.1.17      rpislave4   <none>           <none>
open5gs-ausf-9fb8579c6-ktw8q        1/1     Running            0              6m54s   10.42.1.14      rpislave4   <none>           <none>
open5gs-bsf-7cf8867c96-6hp4r        1/1     Running            0              4m8s    10.42.1.18      rpislave4   <none>           <none>
open5gs-mongodb-5b4cd4946b-t7fzw    1/1     Running            95 (58m ago)   25h     10.42.1.236     rpislave4   <none>           <none>
open5gs-nrf-9b889c6dc-j4r5f         1/1     Running            0              8m34s   10.42.2.201     rpislave2   <none>           <none>
open5gs-nssf-586ccf6cd8-m6jrt       1/1     Running            0              4m41s   10.42.2.203     rpislave2   <none>           <none>
open5gs-pcf-5ffd49f4d6-hn8bq        1/1     Running            0              6m21s   10.42.1.15      rpislave4   <none>           <none>
open5gs-scp-774bfb7564-xr9gt        1/1     Running            0              38m     10.42.1.252     rpislave4   <none>           <none>
open5gs-smf-7fd7bfdb9b-vnqcv        1/1     Running            0              5m47s   10.42.1.16      rpislave4   <none>           <none>
open5gs-udm-8445899f4b-5p98q        1/1     Running            0              7m28s   10.42.3.143     rpislave3   <none>           <none>
open5gs-udr-77497dbb99-ckvcl        1/1     Running            0              8m1s    10.42.2.202     rpislave2   <none>           <none>
open5gs-upf-64b4586676-vrm69        1/1     Running            0              121m    10.42.2.183     rpislave2   <none>           <none>
open5gs-webui-76c5475c97-nm99d      1/1     Running            2 (40d ago)    66d     10.42.3.136     rpislave3   <none>           <none>
ueransim-gnb-75b9f788dd-pv9p5       1/1     Running            0              3m29s   10.42.2.204     rpislave2   <none>           <none>
ueransim-gnb-ues-5fb87f9969-spxcf   1/1     Running            0              3m17s   10.42.2.205     rpislave2   <none>           <none>
