NAMESPACE        LAST SEEN   TYPE      REASON                           OBJECT                                          MESSAGE
metallb-system   45h         Warning   DNSConfigForming                 pod/speaker-lmhcv                               Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 192.168.1.1 8.8.8.8 8.8.4.4
monitoring       45h         Warning   DNSConfigForming                 pod/node-exporter-mwpcz                         Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 192.168.1.1 8.8.8.8 8.8.4.4
default          45h         Warning   DNSConfigForming                 pod/nat-setup-hostnet                           Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 192.168.1.1 8.8.8.8 8.8.4.4
monitoring       45h         Warning   DNSConfigForming                 pod/node-exporter-ktgf7                         Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 192.168.1.1 8.8.8.8 8.8.4.4
kube-system      45h         Warning   DNSConfigForming                 pod/coredns-7f496c8d7d-mcnqm                    Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 192.168.1.1 8.8.8.8 8.8.4.4
monitoring       45h         Warning   DNSConfigForming                 pod/node-exporter-rfk96                         Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 192.168.1.1 8.8.8.8 8.8.4.4
monitoring       45h         Warning   DNSConfigForming                 pod/node-exporter-kk2b6                         Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 192.168.1.1 8.8.8.8 8.8.4.4
metallb-system   45h         Warning   DNSConfigForming                 pod/speaker-5dq72                               Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 192.168.1.1 8.8.8.8 8.8.4.4
metallb-system   45h         Warning   DNSConfigForming                 pod/speaker-hc4r4                               Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 192.168.1.1 8.8.8.8 8.8.4.4
default          46h         Normal    ScalingReplicaSet                deployment/ueransim-gnb-ues                     Scaled down replica set ueransim-gnb-ues-69bc49bf9c from 1 to 0
default          46h         Normal    ScalingReplicaSet                deployment/ueransim-gnb                         Scaled down replica set ueransim-gnb-5f74f979bb from 1 to 0
default          46h         Normal    ScalingReplicaSet                deployment/ueransim-gnb                         Scaled up replica set ueransim-gnb-5f74f979bb from 0 to 1
default          45h         Warning   FailedGetResourceMetric          horizontalpodautoscaler/open5gs-amf             failed to get cpu utilization: missing request for cpu in container open5gs-amf of Pod open5gs-amf-86fdc78b7-sfllw
default          45h         Warning   FailedGetResourceMetric          horizontalpodautoscaler/open5gs-bsf             failed to get cpu utilization: missing request for cpu in container open5gs-bsf of Pod open5gs-bsf-7cf8867c96-qwjq9
default          45h         Warning   FailedGetResourceMetric          horizontalpodautoscaler/open5gs-ausf            failed to get cpu utilization: missing request for cpu in container open5gs-ausf of Pod open5gs-ausf-9fb8579c6-xxl6w
default          45h         Warning   FailedGetResourceMetric          horizontalpodautoscaler/open5gs-smf             failed to get cpu utilization: missing request for cpu in container open5gs-smf of Pod open5gs-smf-7c5f645bcd-dz65d
default          45h         Warning   FailedGetResourceMetric          horizontalpodautoscaler/open5gs-nssf            failed to get cpu utilization: missing request for cpu in container open5gs-nssf of Pod open5gs-nssf-586ccf6cd8-m6jrt
default          45h         Warning   FailedGetResourceMetric          horizontalpodautoscaler/open5gs-pcf             failed to get cpu utilization: missing request for cpu in container open5gs-pcf of Pod open5gs-pcf-7c48d88dfb-b7w7c
default          45h         Warning   FailedGetResourceMetric          horizontalpodautoscaler/open5gs-nrf             failed to get cpu utilization: missing request for cpu in container open5gs-nrf of Pod open5gs-nrf-9b889c6dc-j4r5f
default          45h         Warning   FailedGetResourceMetric          horizontalpodautoscaler/open5gs-scp             failed to get cpu utilization: missing request for cpu in container open5gs-scp of Pod open5gs-scp-774bfb7564-xc95p
default          45h         Warning   FailedGetResourceMetric          horizontalpodautoscaler/open5gs-udr             failed to get cpu utilization: missing request for cpu in container open5gs-udr of Pod open5gs-udr-77497dbb99-ckvcl
default          45h         Warning   FailedGetResourceMetric          horizontalpodautoscaler/open5gs-udm             failed to get cpu utilization: missing request for cpu in container open5gs-udm of Pod open5gs-udm-8445899f4b-5p98q
default          46h         Normal    ScalingReplicaSet                deployment/ueransim-gnb-ues                     Scaled up replica set ueransim-gnb-ues-69bc49bf9c from 0 to 1
monitoring       46h         Warning   Unhealthy                        pod/grafana-d8ddf6c68-45bcw                     Readiness probe failed: Get "http://10.42.3.22:3000/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system      46h         Normal    ScalingReplicaSet                deployment/vpa-recommender                      Scaled down replica set vpa-recommender-5f4f956944 from 1 to 0
kube-system      46h         Normal    ScalingReplicaSet                deployment/vpa-recommender                      Scaled up replica set vpa-recommender-5f4f956944 from 0 to 1
default          46h         Normal    ResizeStarted                    pod/open5gs-upf-5b9db6d44-nsbqz                 (combined from similar events): Pod resize started: {"initContainers":[{"name":"tun-create","resources":{"requests":{"cpu":"25m","memory":"128Mi"}}}],"containers":[{"name":"open5gs-upf","resources":{"requests":{"cpu":"548m","memory":"250Mi"}}}],"generation":245}
default          46h         Normal    SuccessfulDelete                 replicaset/ueransim-gnb-ues-69bc49bf9c          Deleted pod: ueransim-gnb-ues-69bc49bf9c-6989x
default          46h         Normal    SuccessfulDelete                 replicaset/ueransim-gnb-5f74f979bb              Deleted pod: ueransim-gnb-5f74f979bb-9nh8p
default          46h         Warning   FailedPreStopHook                pod/ueransim-gnb-ues-69bc49bf9c-6989x           PreStopHook failed
default          46h         Normal    Killing                          pod/ueransim-gnb-ues-69bc49bf9c-6989x           Stopping container ues
default          46h         Normal    Killing                          pod/ueransim-gnb-5f74f979bb-9nh8p               Stopping container gnodeb
default          46h         Warning   FailedPreStopHook                pod/ueransim-gnb-5f74f979bb-9nh8p               PreStopHook failed
default          46h         Normal    Scheduled                        pod/ueransim-gnb-5f74f979bb-xgjm9               Successfully assigned default/ueransim-gnb-5f74f979bb-xgjm9 to rpislave3
default          46h         Normal    SuccessfulCreate                 replicaset/ueransim-gnb-5f74f979bb              Created pod: ueransim-gnb-5f74f979bb-xgjm9
default          46h         Normal    Pulling                          pod/ueransim-gnb-5f74f979bb-xgjm9               Pulling image "docker.io/gradiant/ueransim:3.2.6"
default          46h         Normal    Pulled                           pod/ueransim-gnb-5f74f979bb-xgjm9               Successfully pulled image "docker.io/gradiant/ueransim:3.2.6" in 1.125s (1.125s including waiting). Image size: 89960879 bytes.
default          46h         Normal    Started                          pod/ueransim-gnb-5f74f979bb-xgjm9               Container started
default          46h         Normal    Created                          pod/ueransim-gnb-5f74f979bb-xgjm9               Container created
default          46h         Normal    SuccessfulCreate                 replicaset/ueransim-gnb-ues-69bc49bf9c          Created pod: ueransim-gnb-ues-69bc49bf9c-7l8lt
default          46h         Normal    Scheduled                        pod/ueransim-gnb-ues-69bc49bf9c-7l8lt           Successfully assigned default/ueransim-gnb-ues-69bc49bf9c-7l8lt to rpislave4
default          46h         Normal    Pulling                          pod/ueransim-gnb-ues-69bc49bf9c-7l8lt           Pulling image "docker.io/gradiant/ueransim:3.2.6"
default          46h         Normal    Pulled                           pod/ueransim-gnb-ues-69bc49bf9c-7l8lt           Successfully pulled image "docker.io/gradiant/ueransim:3.2.6" in 1.18s (1.18s including waiting). Image size: 89960879 bytes.
default          46h         Normal    Created                          pod/ueransim-gnb-ues-69bc49bf9c-7l8lt           Container created
