NAMESPACE        NAME                                        READY   STATUS    RESTARTS         AGE    IP              NODE        NOMINATED NODE   READINESS GATES
default          iperf3-server-747f565b8b-glz8n              1/1     Running   8 (45h ago)      43d    10.42.2.126     rpislave2   <none>           <none>
default          nat-setup-hostnet                           1/1     Running   8 (45h ago)      49d    192.168.1.102   rpislave2   <none>           <none>
default          open5gs-amf-86fdc78b7-sfllw                 1/1     Running   4 (45h ago)      6d3h   10.42.1.203     rpislave4   <none>           <none>
default          open5gs-ausf-9fb8579c6-xxl6w                1/1     Running   8 (45h ago)      26d    10.42.2.131     rpislave2   <none>           <none>
default          open5gs-bsf-7cf8867c96-qwjq9                1/1     Running   8 (45h ago)      26d    10.42.2.127     rpislave2   <none>           <none>
default          open5gs-mongodb-5b4cd4946b-g6p2m            1/1     Running   7 (45h ago)      26d    10.42.1.206     rpislave4   <none>           <none>
default          open5gs-nrf-9b889c6dc-j4r5f                 1/1     Running   8 (45h ago)      37d    10.42.2.125     rpislave2   <none>           <none>
default          open5gs-nssf-586ccf6cd8-m6jrt               1/1     Running   8 (45h ago)      37d    10.42.2.129     rpislave2   <none>           <none>
default          open5gs-pcf-7c48d88dfb-b7w7c                1/1     Running   14 (2m11s ago)   25d    10.42.1.202     rpislave4   <none>           <none>
default          open5gs-scp-774bfb7564-xc95p                1/1     Running   8 (45h ago)      26d    10.42.2.133     rpislave2   <none>           <none>
default          open5gs-smf-7c5f645bcd-dz65d                1/1     Running   4 (45h ago)      6d3h   10.42.1.200     rpislave4   <none>           <none>
default          open5gs-udm-8445899f4b-5p98q                1/1     Running   8 (45h ago)      37d    10.42.3.43      rpislave3   <none>           <none>
default          open5gs-udr-77497dbb99-ckvcl                1/1     Running   16 (45h ago)     37d    10.42.2.124     rpislave2   <none>           <none>
default          open5gs-upf-5b9db6d44-nsbqz                 1/1     Running   7 (45h ago)      25d    10.42.2.135     rpislave2   <none>           <none>
default          open5gs-webui-76c5475c97-nm99d              1/1     Running   10 (45h ago)     104d   10.42.3.46      rpislave3   <none>           <none>
default          ueransim-gnb-5f74f979bb-xgjm9               1/1     Running   1 (45h ago)      46h    10.42.3.39      rpislave3   <none>           <none>
default          ueransim-gnb-ues-69bc49bf9c-7l8lt           1/1     Running   2 (2m8s ago)     46h    10.42.1.201     rpislave4   <none>           <none>
kube-system      coredns-7f496c8d7d-mcnqm                    1/1     Running   29 (45h ago)     222d   10.42.0.59      rpimaster   <none>           <none>
kube-system      local-path-provisioner-578895bd58-5fx6d     1/1     Running   29 (45h ago)     222d   10.42.0.57      rpimaster   <none>           <none>
kube-system      metrics-server-7b9c9c4b9c-ssj5q             1/1     Running   29 (45h ago)     222d   10.42.0.60      rpimaster   <none>           <none>
kube-system      traefik-6d98778dfc-sq6xm                    1/1     Running   29 (45h ago)     222d   10.42.0.58      rpimaster   <none>           <none>
kube-system      vpa-admission-controller-7d977b5d75-lr9k2   1/1     Running   8 (45h ago)      43d    10.42.2.130     rpislave2   <none>           <none>
kube-system      vpa-recommender-5f4f956944-9h9dj            1/1     Running   1 (45h ago)      46h    10.42.2.123     rpislave2   <none>           <none>
kube-system      vpa-updater-5f6f58cd5-sfb2k                 1/1     Running   10 (45h ago)     104d   10.42.3.48      rpislave3   <none>           <none>
metallb-system   controller-bb5f47665-5zlql                  1/1     Running   10 (45h ago)     104d   10.42.3.40      rpislave3   <none>           <none>
metallb-system   speaker-5dq72                               1/1     Running   479 (45h ago)    519d   192.168.1.104   rpislave4   <none>           <none>
metallb-system   speaker-hc4r4                               1/1     Running   283 (45h ago)    519d   192.168.1.102   rpislave2   <none>           <none>
metallb-system   speaker-lmhcv                               1/1     Running   669 (45h ago)    518d   192.168.1.103   rpislave3   <none>           <none>
monitoring       alertmanager-main-0                         2/2     Running   20 (45h ago)     95d    10.42.3.47      rpislave3   <none>           <none>
monitoring       alertmanager-main-1                         2/2     Running   16 (45h ago)     41d    10.42.2.134     rpislave2   <none>           <none>
monitoring       alertmanager-main-2                         2/2     Running   14 (45h ago)     25d    10.42.1.194     rpislave4   <none>           <none>
monitoring       blackbox-exporter-69bdcc6fc7-qppcj          3/3     Running   30 (45h ago)     104d   10.42.3.45      rpislave3   <none>           <none>
monitoring       grafana-d8ddf6c68-45bcw                     1/1     Running   15 (45h ago)     117d   10.42.3.41      rpislave3   <none>           <none>
monitoring       kube-state-metrics-5f96f94459-8t6t2         3/3     Running   30 (45h ago)     104d   10.42.3.42      rpislave3   <none>           <none>
monitoring       node-exporter-kk2b6                         2/2     Running   515 (45h ago)    522d   192.168.1.104   rpislave4   <none>           <none>
monitoring       node-exporter-ktgf7                         2/2     Running   155 (45h ago)    522d   192.168.1.101   rpimaster   <none>           <none>
monitoring       node-exporter-mwpcz                         2/2     Running   138 (45h ago)    522d   192.168.1.103   rpislave3   <none>           <none>
monitoring       node-exporter-rfk96                         2/2     Running   125 (45h ago)    522d   192.168.1.102   rpislave2   <none>           <none>
monitoring       prometheus-adapter-599c88b6c4-7b9lf         1/1     Running   10 (45h ago)     104d   10.42.3.49      rpislave3   <none>           <none>
monitoring       prometheus-adapter-599c88b6c4-ghqcw         1/1     Running   8 (45h ago)      43d    10.42.2.128     rpislave2   <none>           <none>
