NAMESPACE        NAME                       TYPE           CLUSTER-IP      EXTERNAL-IP     PORT(S)                         AGE    SELECTOR
default          iperf3                     ClusterIP      10.43.195.79    <none>          5201/TCP                        360d   app=iperf3-server
default          iperf3-server              LoadBalancer   10.43.165.88    192.168.1.203   5201:31916/TCP                  252d   app=iperf3-server
default          kubernetes                 ClusterIP      10.43.0.1       <none>          443/TCP                         522d   <none>
default          open5gs-amf-metrics        ClusterIP      10.43.187.0     <none>          9090/TCP                        215d   app.kubernetes.io/instance=open5gs,app.kubernetes.io/name=amf
default          open5gs-amf-ngap           ClusterIP      10.43.233.58    <none>          38412/SCTP                      215d   app.kubernetes.io/instance=open5gs,app.kubernetes.io/name=amf
default          open5gs-amf-sbi            ClusterIP      10.43.33.11     <none>          7777/TCP                        215d   app.kubernetes.io/instance=open5gs,app.kubernetes.io/name=amf
default          open5gs-ausf-sbi           ClusterIP      10.43.63.229    <none>          7777/TCP                        215d   app.kubernetes.io/instance=open5gs,app.kubernetes.io/name=ausf
default          open5gs-bsf-sbi            ClusterIP      10.43.243.32    <none>          7777/TCP                        215d   app.kubernetes.io/instance=open5gs,app.kubernetes.io/name=bsf
default          open5gs-mongodb            ClusterIP      10.43.194.194   <none>          27017/TCP                       215d   app.kubernetes.io/component=mongodb,app.kubernetes.io/instance=open5gs,app.kubernetes.io/name=mongodb
default          open5gs-nrf-sbi            ClusterIP      10.43.163.236   <none>          7777/TCP                        215d   app.kubernetes.io/instance=open5gs,app.kubernetes.io/name=nrf
default          open5gs-nssf-sbi           ClusterIP      10.43.151.146   <none>          7777/TCP                        215d   app.kubernetes.io/instance=open5gs,app.kubernetes.io/name=nssf
default          open5gs-pcf-metrics        ClusterIP      10.43.109.36    <none>          9090/TCP                        215d   app.kubernetes.io/instance=open5gs,app.kubernetes.io/name=pcf
default          open5gs-pcf-sbi            ClusterIP      10.43.179.48    <none>          7777/TCP                        215d   app.kubernetes.io/instance=open5gs,app.kubernetes.io/name=pcf
default          open5gs-scp-sbi            ClusterIP      10.43.78.52     <none>          7777/TCP                        215d   app.kubernetes.io/instance=open5gs,app.kubernetes.io/name=scp
default          open5gs-smf-gtpc           ClusterIP      10.43.194.244   <none>          2123/UDP                        215d   app.kubernetes.io/instance=open5gs,app.kubernetes.io/name=smf
